,subject,spam
91,"['alsa', 'xhyphen', 'driver', 'rebuild', 'fails', 'with', 'undeclared', 'usb', 'symbol']",0
92,"['re', 'xcomma', 'xhyphen', 'xhyphen', 'with', 'xdot', 'xdot', 'xdot']",0
93,"['re', 'xcomma', 'selling', 'wedded', 'bliss', 'xlbracket', 'was', 're', 'xcomma', 'ouch', 'xdot', 'xdot', 'xdot', 'xrbracket']",0
94,"['re', 'xcomma', 'holidays', 'for', 'freshrpms', 'xdot', 'net', 'xcomma', 'xhyphen', 'xrbracket']",0
95,"['re', 'xcomma', 'sorting']",0
96,"['re', 'xcomma', 'arrrghhh', 'had', 'gpg', 'working', 'xcomma', 'now', 'it', 'doesnt', 'xdot']",0
97,"['ru', 'stupid']",0
98,"['accessibility', 'watershed', 'xquestionm']",0
99,"['netscape', 'xdigit', 'review']",0
100,"['re', 'xcomma', 'exmh', 'bug', 'xquestionm']",0
101,"['gpg', 'test']",0
102,['discussion'],0
103,"['skinny', 'acoustic', 'bass']",0
104,"['re', 'xcomma', 'exmh', 'bug', 'xquestionm']",0
105,"['to', 'the', 'courthouse']",0
106,"['postmortem', 'xcomma', 'ubi', 'soft', 'china', 'music', 'up', 'xhyphen', 'xhyphen', 'summer', 'rainbow']",0
107,"['re', 'xlsquareb', 'xdigit', 'xrsquareb', 'xcomma', 'oh', 'my', 'xdot', 'xdot', 'xdot']",0
108,"['re', 'xcomma', 'linking', 'message', 'xlsquareb', 'was', 'xcomma', 're', 'xcomma', 'patch', 'to', 'complete', 'a', 'change', 'xdot', 'xdot', 'xdot', 'xrsquareb']",0
109,"['re', 'xcomma', 'alsa', 'xhyphen', 'driver', 'xdot', 'spec', 'tweak', 'for', 'homemade', 'kernels']",0
110,"['re', 'xcomma', 'xlsquareb', 'razor', 'xhyphen', 'users', 'xrsquareb', 'collision', 'of', 'hashes', 'xquestionm']",0
111,"['xlsquareb', 'irr', 'xrsquareb', 'xlsquareb', 'dgc', 'xdot', 'chat', 'xrsquareb', 'first', 'public', 'release', 'of', 'neudist', 'distributed']",0
112,"['xlsquareb', 'dgc', 'xdot', 'chat', 'xrsquareb', 'first', 'public', 'release', 'of', 'neudist', 'distributed', 'transaction']",0
113,['thethresher'],0
114,"['google', 'xquestionm', 'not', 'in', 'china']",0
115,"['xlsquareb', 'spambayes', 'xrsquareb', 'spambayes', 'package', 'xquestionm']",0
116,"['re', 'xcomma', 'xlsquareb', 'zzzzteana', 'xrsquareb', 're', 'xcomma', 'that', 'wacky', 'imam']",0
117,"['re', 'xcomma', 'apt', 'and', 'a', 'hybrid', 'system']",0
118,"['automated', 'forwarding']",0
119,"['doom', 'xdigit']",0
120,"['re', 'xcomma', 'cvs', 'report']",0
121,"['tate', 'unveils', 'its', 'biggest', 'work']",0
122,"['encryption', 'approach', 'to', 'secure', 'web', 'applications']",0
123,"['west', 'nile', 'vaccine', 'xquote', 'in', 'three', 'years', 'xquote']",0
124,"['re', 'xcomma', 'mit', 'opencourseware']",0
125,"['re', 'xcomma', 'rh', 'xdigit', 'no', 'dma', 'for', 'dvd', 'drive']",0
126,"['rendering', 'the', 'great', 'outdoors', 'xcomma', 'fast', 'occlusion', 'culling', 'for', 'outdoor']",0
127,"['fuzzy', 'math']",0
128,"['re', 'xcomma', 'new', 'sequences', 'window']",0
129,"['re', 'xcomma', 'xlsquareb', 'webdev', 'xrsquareb', 'mod', 'xunderscore', 'usertrack']",0
130,"['designer', 'notebook', 'xcomma', 'stop', 'calling', 'games', 'xquote', 'addictive', 'xquote', 'xclaim']",0
131,"['re', 'xcomma', 'traceback', 'in', 'new', 'exmh']",0
132,"['re', 'xcomma', 'rh', 'xdigit', 'no', 'dma', 'for', 'dvd', 'drive']",0
133,"['re', 'xcomma', 'xlsquareb', 'satalk', 'xrsquareb', 'o', 'xdot', 't', 'xdot', 'habeus', 'xhyphen', 'xhyphen', 'why', 'xquestionm']",0
134,"['xine', 'src', 'package']",0
135,"['computational', 'recreations']",0
136,"['jeremy', 'zawodny', 'on', 'life', 'in', 'silicon', 'valley', 'xcomma', 'xquote', 'i', 'came', 'out', 'here', 'to']",0
137,"['xlsquareb', 'sadev', 'xrsquareb', 'xlsquareb', 'bug', 'xdigit', 'xrsquareb', 'spamassassin', 'build', 'process', 'makes', 'packaging']",0
138,"['blair', 'apologises', 'for', 'exam', 'fiasco']",0
139,"['re', 'xcomma', 'xlsquareb', 'ilug', 'xrsquareb', 'retrieving', 'read', 'mail', 'from', 'webmail', 'xdot', 'eircom', 'xdot', 'net', 'via', 'pop', 'xquestionm']",0
140,"['re', 'xcomma', 'java', 'is', 'for', 'kiddies']",0
141,"['xlsquareb', 'sadev', 'xrsquareb', 'xlsquareb', 'bug', 'xdigit', 'xrsquareb', 'errors', 'from', 'xexotic', 'makefile', 'xdot', 'xexotic']",0
142,"['xlsquareb', 'spambayes', 'xrsquareb', 'deleting', 'xquote', 'duplicate', 'xquote', 'spam', 'before', 'training', 'xquestionm', 'good', 'idea']",0
143,"['re', 'xcomma', 'xlsquareb', 'satalk', 'xrsquareb', 'reject', 'xcomma', 'blackhole', 'xcomma', 'or', 'fake', 'no', 'xhyphen', 'user']",0
144,"['at', 'last', 'xcomma', 'i', 'have', 'an', 'excuse']",0
145,"['re', 'xcomma', 'xlsquareb', 'satalk', 'xrsquareb', 'o', 'xdot', 't', 'xdot', 'habeus', 'xhyphen', 'xhyphen', 'why', 'xquestionm']",0
146,"['re', 'xcomma', 'xlsquareb', 'satalk', 'xrsquareb', 'user', 'xunderscore', 'prefs', 'ignored']",0
147,"['re', 'xcomma', 'wifi', 'query']",0
148,"['never', 'a', 'cent']",0
149,"['there', 'are', 'four', 'lights']",0
150,"['alsaplayer', 'for', 'xlbracket', 'null', 'xrbracket']",0
151,"['re', 'xcomma', 'slaughter', 'in', 'the', 'name', 'of', 'god']",0
152,"['customising', 'ftoc', 'display', 'for', 'specific', 'folders', 'xdot', 'xdot', 'xdot']",0
153,"['xlsquareb', 'use', 'perl', 'xrsquareb', 'stories', 'for', 'xdigit', 'xhyphen', 'xdigit', 'xhyphen', 'xdigit']",0
154,"['kitty', 'wants', 'to', 'play', 'xquote', 'eat', 'your', 'head', 'xquote']",0
155,"['re', 'xcomma', 'xlsquareb', 'satalk', 'xrsquareb', 're', 'xcomma', 'patent', 'on', 'tmda', 'xhyphen', 'like', 'system']",0
156,"['xlsquareb', 'satalk', 'xrsquareb', 're', 'xcomma', 'patent', 'on', 'tmda', 'xhyphen', 'like', 'system']",0
157,"['xlsquareb', 'use', 'perl', 'xrsquareb', 'headlines', 'for', 'xdigit', 'xhyphen', 'xdigit', 'xhyphen', 'xdigit']",0
158,"['re', 'xcomma', 'xlsquareb', 'sadev', 'xrsquareb', 'fully', 'xhyphen', 'public', 'corpus', 'of', 'mail', 'available']",0
159,"['re', 'xcomma', 'datapower', 'announces', 'xml', 'xhyphen', 'in', 'xhyphen', 'silicon']",0
160,"['oracle', 'of', 'google']",0
161,"['re', 'xcomma', 'alsa', 'xhyphen', 'driver', 'xdot', 'spec', 'tweak', 'for', 'homemade', 'kernels']",0
162,"['re', 'xcomma', 'ga', 'development', 'xlbracket', 'was', 're', 'xcomma', 'xlsquareb', 'sadev', 'xrsquareb', 'xlsquareb', 'bug', 'xdigit', 'xrsquareb', 'no', 'xunderscore', 'inventory']",0
163,"['football', 'players', 'addicted', 'to', 'video', 'football']",0
164,"['re', 'xcomma', 'xlsquareb', 'razor', 'xhyphen', 'users', 'xrsquareb', 'problem', 'with', 'razor', 'xdigit', 'xdot', 'xdigit', 'and', 'spamassassin', 'xdigit', 'xdot', 'xdigit']",0
165,"['re', 'xcomma', 'xlsquareb', 'sadev', 'xrsquareb', 'testing', 'with', 'less', 'rules']",0
166,"['pix', 'from', 'austin']",0
167,"['att', 'wireless', 'location', 'tracking']",0
168,['carcooning'],0
169,"['xlsquareb', 'use', 'perl', 'xrsquareb', 'headlines', 'for', 'xdigit', 'xhyphen', 'xdigit', 'xhyphen', 'xdigit']",0
170,"['re', 'xcomma', 'new', 'sequences', 'window']",0
171,"['xlsquareb', 'sadev', 'xrsquareb', 'xlsquareb', 'bug', 'xdigit', 'xrsquareb', 'spamassassin', 'xdot', 'org', 'is', 'unreliable']",0
172,"['xlsquareb', 'sadev', 'xrsquareb', 'xlsquareb', 'bug', 'xdigit', 'xrsquareb', 'img', 'tag', 'based', 'rules']",0
173,"['re', 'xcomma', 'automated', 'forwarding']",0
174,"['re', 'xcomma', 'xhyphen', 'xhyphen', 'with', 'xdot', 'xdot', 'xdot']",0
175,"['xlsquareb', 'spambayes', 'xrsquareb', 'spambayes', 'package', 'xquestionm']",0
176,"['re', 'xcomma', 'xlsquareb', 'razor', 'xhyphen', 'users', 'xrsquareb', 'early', 'experiences', 'with', 'xexotic', 'xlbracket', 'and', 'sa', 'xrbracket']",0
177,"['re', 'xcomma', 'exmh', 'bug', 'xquestionm']",0
178,"['re', 'xcomma', 'alsa', 'problem', 'with', 'null', 'kernel']",0
179,"['re', 'xcomma', 'xlsquareb', 'ilug', 'xrsquareb', 'find', 'the', 'biggest', 'file']",0
180,"['re', 'xcomma', 'how', 'unlucky', 'can', 'you', 'get', 'xquestionm']",0
181,"['re', 'xcomma', 'xlsquareb', 'zzzzteana', 'xrsquareb', 'not', 'a', 'materialisation', 'xcomma', 'but', 'a', 'transfiguration']",0
182,"['re', 'xcomma', 'anolther', 'sequence', 'related', 'traceback']",0
183,"['re', 'xcomma', 'xlsquareb', 'satalk', 'xrsquareb', 'false', 'positive', 'of', 'the', 'week']",0
184,"['re', 'xcomma', 'alsa', 'xlbracket', 'almost', 'xrbracket', 'made', 'easy']",0
185,"['re', 'xcomma', 'a', 'moment', 'of', 'silence', 'for', 'the', 'first', 'amendment', 'xlbracket', 'fwd', 'xrbracket']",0
186,"['re', 'xcomma', 'linking', 'message', 'xlsquareb', 'was', 'xcomma', 're', 'xcomma', 'patch', 'to', 'complete', 'a', 'change', 'xdot', 'xdot', 'xdot', 'xrsquareb']",0
187,"['duct', 'xhyphen', 'tapers', 'xhyphen', 'xhyphen', 'suspension', 'and', 'bondage', 'fetish', 'goes', 'mainstream']",0
188,"['xlsquareb', 'zzzzteana', 'xrsquareb', 'the', 'new', 'steve', 'earle']",0
189,"['re', 'xcomma', 'xlsquareb', 'sadev', 'xrsquareb', 'xdigit', 'xdot', 'xdigit', 'release', 'xquestionm']",0
190,"['re', 'xcomma', 'asynchronous', 'i', 'xslash', 'o', 'xlbracket', 'was', 're', 'xcomma', 'gasp', 'xclaim', 'xrbracket']",0
191,"['re', 'xcomma', 'patent', 'on', 'tmda', 'xhyphen', 'like', 'system']",0
192,"['re', 'xcomma', 'selling', 'wedded', 'bliss', 'xlbracket', 'was', 're', 'xcomma', 'ouch', 'xdot', 'xdot', 'xdot', 'xrbracket']",0
193,"['lance', 'knobel', 'of', 'davos', 'newbies', 'does', 'a', 'quick', 'review', 'of', 'tony', 'blair']",0
194,"['apple', 'sauced', 'xdot', 'xdot', 'xdot', 'again']",0
195,"['xlsquareb', 'spambayes', 'xrsquareb', 'testing', 'results']",0
196,"['re', 'xcomma', 'xlsquareb', 'void', 'xrsquareb', 'a', 'new', 'low', 'on', 'the', 'personals', 'tip', 'xdot', 'xdot', 'xdot']",0
197,"['a', 'problem', 'with', 'apt', 'xhyphen', 'get']",0
198,"['xlsquareb', 'sacvs', 'xrsquareb', 'cvs', 'xcomma', 'spamassassin', 'procmailrc', 'xdot', 'example', 'xcomma', 'xdigit', 'xdot', 'xdigit', 'xcomma', 'xdigit', 'xdot', 'xdigit', 'xdot', 'xdigit', 'xdot', 'xdigit']",0
199,['activebuddy'],0
200,"['xlsquareb', 'zzzzteana', 'xrsquareb', 'a', 'new', 'theory', 'on', 'mapping', 'the', 'new', 'world']",0
201,"['re', 'xcomma', 'xlsquareb', 'zzzzteana', 'xrsquareb', 'nothing', 'like', 'mama', 'used', 'to', 'make']",0
202,"['re', 'xcomma', 'apple', 'sauced', 'xdot', 'xdot', 'xdot', 'again']",0
203,"['re', 'xcomma', 'selling', 'wedded', 'bliss', 'xlbracket', 'was', 're', 'xcomma', 'ouch', 'xdot', 'xdot', 'xdot', 'xrbracket']",0
204,"['re', 'xcomma', 'xlsquareb', 'ilug', 'xrsquareb', 'using', 'normal', 'ide', 'device', 'with', 'a', 'dell', 'latitude', 'cpx', 'laptop']",0
205,"['re', 'xcomma', 'sorting']",0
206,"['troubled', 'royal', 'ballet', 'eyes', 'us', 'director']",0
207,"['re', 'xcomma', 'sf', 'weekly', 'ultimate', 'sf', 'date', 'lineup', 'xcomma', 'xhyphen', 'xrbracket']",0
208,"['re', 'xcomma', 'xlsquareb', 'zzzzteana', 'xrsquareb', 'moon', 'over', 'ocean']",0
209,"['re', 'xcomma', 'a', 'biblical', 'digression']",0
210,"['re', 'xcomma', 'xlsquareb', 'sadev', 'xrsquareb', 'results', 'of', 'scorer', 'evaluation']",0
211,"['mac', 'os', 'x', 'browsers']",0
212,"['internet', 'archive', 'bookmobile']",0
213,"['xexotic', 'slogans', 'for', 'eff']",0
214,"['fyi', 'xhyphen', 'gone', 'this', 'weekend']",0
215,"['re', 'xcomma', 'new', 'sequences', 'window']",0
216,"['re', 'xcomma', 'another', 'sequences', 'window', 'nit']",0
217,"['re', 'xcomma', 'http', 'xcomma', 'xslash', 'xslash', 'apt', 'xdot', 'nixia', 'xdot', 'no', 'xslash']",0
218,"['why', 'marching', 'is', 'crucial']",0
219,"['shooting', 'from', 'the', 'hip', 'xcomma', 'an', 'interview', 'with', 'hip', 'tanaka']",0
220,"['xlsquareb', 'spambayes', 'xrsquareb', 'understanding', 'high', 'false', 'negative', 'rate']",0
221,"['re', 'xcomma', 'xslash', 'home', 'xslash', 'dude']",0
222,"['xlsquareb', 'spambayes', 'xrsquareb', 'understanding', 'high', 'false', 'negative', 'rate']",0
223,"['sidekick', 'xcomma', 'your', 'mobile', 'blogging', 'pal']",0
224,"['re', 'xcomma', 'apt', 'xdigit', 'xdot', 'xdigit', 'xdot', 'xdigit', 'on', 'rh', 'xdigit', 'xdot', 'x']",0
225,"['xlsquareb', 'sacvs', 'xrsquareb', 'cvs', 'xcomma', 'spamassassin', 'spamassassin', 'xdot', 'raw', 'xcomma', 'xdigit', 'xdot', 'xdigit', 'xdot', 'xdigit', 'xdot', 'xdigit', 'xcomma', 'xdigit', 'xdot', 'xdigit', 'xdot', 'xdigit', 'xdot', 'xdigit']",0
226,"['xlsquareb', 'zzzzteana', 'xrsquareb', 'punch', 'bags', 'filled', 'with', 'incontinence', 'pads']",0
227,"['xlsquareb', 'zzzzteana', 'xrsquareb', 'hitler', 'xhyphen', 'style', 'applicant', 'welcomed', 'by', 'parties']",0
228,"['re', 'xcomma', 'xlsquareb', 'ilug', 'xrsquareb', 'eircoms', 'adsl', 'modems']",0
229,"['re', 'xcomma', 'google', 'xquestionm', 'not', 'in', 'china']",0
230,"['qotd', 'xcomma', 'cigarettes', 'xcomma', 'fast', 'food', 'xcomma', 'beer', 'xdot']",0
231,"['re', 'xcomma', 'java', 'is', 'for', 'kiddies']",0
232,"['re', 'xcomma', 'alsa', 'xlbracket', 'almost', 'xrbracket', 'made', 'easy']",0
233,"['xlsquareb', 'satalk', 'xrsquareb', 'running', 'sa', 'as', 'a', 'user', 'app', 'xquestionm']",0
234,"['re', 'xlsquareb', 'xdigit', 'xrsquareb', 'xcomma', 'selling', 'wedded', 'bliss', 'xlbracket', 'was', 're', 'xcomma', 'ouch', 'xdot', 'xdot', 'xdot', 'xrbracket']",0
235,"['xlsquareb', 'zzzzteana', 'xrsquareb', 're', 'xcomma', 'australian', 'catholic', 'kiddie', 'perv', 'steps', 'aside']",0
236,"['re', 'xcomma', 'ouch', 'xdot', 'xdot', 'xdot']",0
237,"['re', 'xcomma', 'digital', 'radio', 'playlists', 'are', 'prohibited', 'xquestionm', 'xclaim']",0
238,"['apple', 'switch', 'parodies']",0
239,"['re', 'xcomma', 'slaughter', 'in', 'the', 'name', 'of', 'god']",0
240,"['iowa', 'xcomma', 'xquote', 'there', 'was', 'frost', 'outside', 'this', 'morning', 'xclaim', 'xquote']",0
241,"['re', 'xcomma', 'signers', 'weren', 'not', 'angry', 'young', 'men', 'xlbracket', 'was', 'xcomma', 'java', 'is', 'for', 'kiddies', 'xrbracket']",0
242,"['saddam', 'set', 'to', 'let', 'inspectors', 'in']",0
243,"['photoshop', 'theme', 'xdot', 'xdot', 'ways', 'to', 'smuggle', 'weapons', 'xhyphen', 'grade', 'uranium', 'xdot']",0
244,"['digital', 'service', 'launches', 'with', 'xdigit', 'free', 'channels']",0
245,"['re', 'xcomma', 'slaughter', 'in', 'the', 'name', 'of', 'god']",0
246,"['xquote', 'free', 'xquote', 'elvis', 'costello', 'cd', 'a', 'trojan', 'horse', 'for', 'drm', 'malware']",0
247,"['re', 'xcomma', 'cd', 'player', 'ui', 'for', 'toddlers']",0
248,"['efnet', 'xhash', 'fork']",0
249,"['re', 'xcomma', 'sed', 'xslash', 's', 'xslash', 'united', 'states', 'xslash', 'roman', 'empire', 'xslash', 'g']",0
250,"['us', 'use', 'of', 'lie', 'detector', 'tests', 'criticised']",0
251,"['turning', 'junk', 'computers', 'into', 'activist', 'gold']",0
252,"['xlsquareb', 'spambayes', 'xrsquareb', 'deployment']",0
253,"['re', 'xcomma', 'patch', 'to', 'complete', 'a', 'change', 'xdot', 'xdot', 'xdot']",0
254,"['re', 'xcomma', 'xlsquareb', 'sadev', 'xrsquareb', 'xdigit', 'xdot', 'xdigit', 'to', 'come', 'xquestionm']",0
255,"['re', 'xcomma', 'a', 'moment', 'of', 'silence', 'for', 'the', 'first', 'amendment', 'xlbracket', 'fwd', 'xrbracket']",0
256,"['xlsquareb', 'ilug', 'xrsquareb', 'flat', 'rate', 'is', 'back', 'lads', 'xclaim']",0
257,"['blog', 'de', 'jeanpoole', 'interviews', 'mark']",0
258,"['the', 'secret', 'passion', 'that', 'staggered', 'westminster']",0
259,"['since', 'we', 'were', 'on', 'the', 'subject', 'xdot', 'xdot', 'xdot']",0
260,"['re', 'xcomma', 'the', 'case', 'for', 'spam']",0
261,"['content', 'management', 'for', 'xexotic']",0
262,"['xlsquareb', 'use', 'perl', 'xrsquareb', 'stories', 'for', 'xdigit', 'xhyphen', 'xdigit', 'xhyphen', 'xdigit']",0
263,"['xlsquareb', 'img', 'xcomma', 'http', 'xcomma', 'xslash', 'xslash', 'radio', 'xdot', 'weblogs', 'xdot', 'com', 'xslash', 'xdigit', 'xslash', 'images', 'xslash', 'xdigit', 'xslash', 'xdigit', 'xslash', 'xdigit', 'xslash', 'uncsammedium', 'xdot', 'gif']",0
264,"['linking', 'message', 'xlsquareb', 'was', 'xcomma', 're', 'xcomma', 'patch', 'to', 'complete', 'a', 'change', 'xdot', 'xdot', 'xdot', 'xrsquareb']",0
